snapshot,ES00,ITN1,ITCN,ITCS,ITS1,ITCA,ITSI,ITSA
2013-06-16 02:00:00,26234.063322410584,16850.519436187744,4187.76520072937,5618.03380153656,2444.7003554534913,1031.954225959778,2175.7411597442624,1081.7657401275635
2013-06-16 03:00:00,26024.74548458099,16115.897242507934,4005.1937056350707,5373.107717666626,2338.1201933670045,986.9647262573242,2080.886631698608,1034.6046323776245
2013-06-16 04:00:00,25430.180352020263,15924.776220817565,3957.6954204559324,5309.387193107605,2310.3920651626586,975.2601306915283,2056.2090422439574,1022.3350780105591
2013-06-16 05:00:00,25120.69838470459,17132.556015548704,4257.858155975342,5712.065993080139,2485.618674468994,1049.2266133117676,2212.157716636658,1099.8718410110473
2013-06-16 06:00:00,26639.85724132538,18660.86201385498,4637.679500579834,6221.609651756286,2707.3477478027344,1142.8226653289794,2409.4927935409546,1197.985697364807
2013-06-16 07:00:00,29376.397794494627,20161.959756011962,5010.738926811218,6722.081965446472,2925.1294433975218,1234.7524340057373,2603.314736061096,1294.352798461914
2013-06-16 08:00:00,31691.73471393585,21045.23173801422,5230.253542633056,7016.568486289978,3053.2759686660766,1288.8454734802247,2717.362904663086,1351.0568862533569
2013-06-16 09:00:00,32999.00750377655,21489.19033351898,5340.588104362488,7164.5862374877925,3117.6861679458616,1316.0342462158203,2774.6868800354005,1379.5580705642699
2013-06-16 10:00:00,33624.39247730255,21708.183421897887,5395.013204612732,7237.599347114563,3149.458057594299,1329.4457573699951,2802.9633028030394,1393.6169086074829
2013-06-16 11:00:00,34565.68024635315,20878.664292144775,5188.857498741149,6961.0342360305785,3029.1100746536254,1278.6445921325683,2695.8557341384885,1340.36364238739
2013-06-16 12:00:00,34705.65361507416,20684.225030403137,5140.5345595169065,6896.20740070343,3000.900499458313,1266.7368152618408,2670.7497002029418,1327.881054649353
2013-06-16 13:00:00,33382.970849571226,20511.021335182188,5097.489247665405,6838.4605690383905,2975.7718418884274,1256.1295412063598,2648.3856005859375,1316.761784172058
2013-06-16 14:00:00,32514.879968299865,20422.760528068542,5075.554274749756,6809.034002838134,2962.966864852905,1250.7242984771729,2636.989378700256,1311.0956322479246
2013-06-16 15:00:00,32179.714838638305,20579.373775482178,5114.476466865539,6861.249541511535,2985.6885282516478,1260.3155456161498,2657.2112659454347,1321.1498562622069
2013-06-16 16:00:00,32351.791906967163,20933.744424362183,5202.546212120056,6979.398176116943,3037.1011737060544,1282.0178010940551,2702.967641639709,1343.8996512222288
2013-06-16 17:00:00,32496.901843948363,21548.915714874267,5355.431315345764,7184.498858146667,3126.351220550537,1319.6919411087035,2782.398629875183,1383.3922900009154
2013-06-16 18:00:00,32963.05101428986,21874.087237815856,5436.2443618392945,7292.912347259521,3173.527638130188,1339.605986404419,2824.38484462738,1404.2675538253784
2013-06-16 19:00:00,34343.52085243225,23048.022727699277,5727.99596118927,7684.307441558837,3343.8440559768674,1411.4997829437254,2975.9635257720947,1479.6316152191162
2013-06-16 20:00:00,36102.81739788055,22446.12359477997,5578.409333686828,7483.631741752624,3256.519586410522,1374.638458442688,2898.2462351989743,1440.9910095977782
2013-06-16 21:00:00,33856.825198364255,20759.877199516297,5159.335963439941,6921.430104370117,3011.8762628555296,1271.3698947906494,2680.5178832244874,1332.737772064209
2013-06-16 22:00:00,31506.8158687973,18838.04727809906,4681.714373207092,6280.683984107971,2733.054085578918,1153.6737730026246,2432.3709663391114,1209.3605797958373
2013-06-16 23:00:00,29318.610862312315,17745.072876548766,4410.083541984558,5916.281684684754,2574.4836178970336,1086.738164138794,2291.245979385376,1139.1940550994873
2013-06-17 00:00:00,27778.90537147522,17109.99308879852,4252.25072517395,5704.543388862609,2482.345220184326,1047.8448259353638,2209.2444045257566,1098.4233465194702
2013-06-17 01:00:00,27221.58079772949,16890.336360435485,4197.660698127746,5631.3089990234375,2450.4770471572874,1034.392692565918,2180.882302894592,1084.3218897628783
2013-06-17 02:00:00,27158.656986274716,17093.402681121825,4248.127615470886,5699.0121059036255,2479.9382761764527,1046.8288190841674,2207.1022623825074,1097.3582900238036
2013-06-17 03:00:00,27567.01917427063,17550.633524513243,4361.760652923584,5851.454859390258,2546.2740226364135,1074.830407333374,2266.1399755477905,1126.7114874267577
2013-06-17 04:00:00,29905.471067237853,20178.550133590696,5014.862026481628,6727.613248405456,2927.536367340088,1235.7684308242797,2605.456868171692,1295.4178549575804
2013-06-17 05:00:00,33267.39660396576,24042.118383369445,5975.052990760803,8015.743052558899,3488.069102859497,1472.3798725891113,3104.321268501282,1543.4503092956543
2013-06-17 06:00:00,36847.62905574799,28041.06409332275,6968.888569946289,9349.008391723632,4068.2425339889523,1717.2820586776734,3620.665641822815,1800.1737105178831
2013-06-17 07:00:00,39342.74796112061,29753.855094718932,7394.558931770324,9920.060073814391,4316.736992034912,1822.1762433242798,3841.8214192199707,1910.1310645294188
2013-06-17 08:00:00,41118.73837097168,30457.287332801818,7569.379007911682,10154.58734210968,4418.792056045532,1865.2556461334227,3932.6486594390867,1955.289845199585
2013-06-17 09:00:00,41230.4600875473,31091.040041236876,7726.882011260986,10365.883097572327,4510.737917098999,1904.0677198410033,4014.4789066696167,1995.9753665161131
2013-06-17 10:00:00,42379.78163513183,30244.266883888242,7516.438248825073,10083.565453414916,4387.886716804504,1852.2099255371093,3905.1434267044065,1941.6144050216674
2013-06-17 11:00:00,42373.36070659637,30404.19817070007,7556.185044822692,10136.88721256256,4411.089777030945,1862.0043840789795,3925.793798561096,1951.88163230896
2013-06-17 12:00:00,40683.40896133423,31130.1933656311,7736.612561798095,10378.937004814148,4516.418325424194,1906.4655441665648,4019.5343910217284,1998.4888974380492
2013-06-17 13:00:00,39688.186397857666,31431.474651756285,7811.488313865661,10479.385449676513,4560.1286918640135,1924.9165074920654,4058.4358456420896,2017.8305096054075
2013-06-17 14:00:00,39507.12020214081,31342.550174560547,7789.388404121399,10449.73764339447,4547.227451515198,1919.4706224822996,4046.9539248275755,2012.1217490005492
2013-06-17 15:00:00,39603.432073478696,30373.00839569092,7548.433575706482,10126.488306694031,4406.564709053039,1860.0942470550535,3921.766550865173,1949.8793152618407
2013-06-17 16:00:00,38861.18868469238,29204.38168457031,7258.001400756835,9736.863343734742,4237.0184779739375,1788.5255787277222,3770.873350791931,1874.8561032485961
2013-06-17 17:00:00,38320.55818603515,28375.52617473602,7052.0105414199825,9460.519452667237,4116.766838607788,1737.765095901489,3663.8514308929443,1821.645415611267
2013-06-17 18:00:00,38111.240428466794,27859.233549842833,6923.699239845276,9288.385288505553,4041.8622426605225,1706.1464249420164,3597.1876467514035,1788.5005974197386
2013-06-17 19:00:00,38212.688908195494,28264.7024609375,7024.468147735595,9423.570322380065,4100.688306961059,1730.978035697937,3649.541856765747,1814.5307892608641
2013-06-17 20:00:00,37571.89401920319,26659.417184104917,6625.515595779419,8888.361439743041,3867.7909536361694,1632.6676597213745,3442.2672290802,1711.475068359375
2013-06-17 21:00:00,34294.72284698486,24736.923552474975,6147.729018554687,8247.394019203186,3588.872523078918,1514.930895652771,3194.0346032333373,1588.055277442932
2013-06-17 22:00:00,32337.666171188353,22573.537706222534,5610.074867172241,7526.112175064087,3275.005041999817,1382.4415355300903,2914.697961502075,1449.170722541809
2013-06-17 23:00:00,30419.13426399231,21188.572687377928,5265.877269058227,7064.35894241333,3074.072064819336,1297.6239051055907,2735.8711042785644,1360.259057044983
2013-06-18 00:00:00,29205.60480552673,20380.289194374083,5064.999130363464,6794.873885154724,2956.805009536743,1248.1232828140257,2631.5054398345947,1308.369067955017
2013-06-18 01:00:00,28671.39516517639,20065.73555000305,4986.824852409362,6690.000367774963,2911.1690758514405,1228.8594638442992,2590.8902474212646,1288.1754125976563
2013-06-18 02:00:00,28708.635864448544,20147.36026828766,5007.110567398071,6717.214402732849,2923.01131942749,1233.8583138656616,2601.4296305084226,1293.4155379104614
2013-06-18 03:00:00,29047.653483009337,20039.190883674622,4980.227880897522,6681.150292968749,2907.3179313278197,1227.2338528823852,2587.462791900635,1286.4713161849975
2013-06-18 04:00:00,30928.9447611618,22140.196909027098,5502.379114112854,7381.634556121826,3212.1352764511107,1355.903009185791,2858.744958305359,1421.351196861267
2013-06-18 05:00:00,33877.37162189483,25977.220542640684,6455.973096847534,8660.9142754364,3768.8168172836304,1590.8887998580933,3354.181883049011,1667.679554786682
2013-06-18 06:00:00,37307.35762863159,29888.569075431824,7428.038639945984,9964.974338645934,4336.2815045928955,1830.4263554000854,3859.2157033157346,1918.779412765503
2013-06-18 07:00:00,39594.44289592743,31970.330193367005,7945.407076339721,10659.04212776184,4638.3067621612545,1957.9169457626342,4128.012982025146,2052.423832321167
2013-06-18 08:00:00,40641.03171386719,32868.201733322145,8168.550041542053,10958.396281547546,4768.571401367188,2012.904115409851,4243.946226081848,2110.065170631409
2013-06-18 09:00:00,40480.51196174621,33503.281541137694,8326.382888450622,11170.134587402343,4860.709789047241,2051.797463645935,4325.947800941467,2150.835859146118
2013-06-18 10:00:00,40809.25650398254,32587.492464027404,8098.786949920654,10864.80667049408,4727.845639076233,1995.7130126190184,4207.70101688385,2092.0442770767213
2013-06-18 11:00:00,40616.63261081695,32641.245356407166,8112.145849838256,10882.72810031891,4735.644201469421,1999.0049069213867,4214.641586723327,2095.49506855011
2013-06-18 12:00:00,39017.855988044736,33345.34115421295,8287.13084274292,11117.47659866333,4837.795548858642,2042.124911880493,4305.554535903931,2140.696457901001
2013-06-18 13:00:00,38249.92951717377,33495.31818237305,8324.40379699707,11167.479545898437,4859.554458732605,2051.309786376953,4324.919594383239,2150.324645271301
2013-06-18 14:00:00,38172.879969940186,33371.88577037811,8293.72781425476,11126.326663436888,4841.646643218994,2043.7505629730224,4308.981981391907,2142.4005442810058
2013-06-18 15:00:00,38368.07212215423,32292.183656845093,8025.39552898407,10766.349456596374,4685.0017628479,1977.6277796554564,4169.570702133178,2073.0860928726197
2013-06-18 16:00:00,37993.09797397613,30913.191106910705,7682.682201805114,10306.587575302123,4484.935305976867,1893.175959854126,3991.515014877319,1984.5578453063963
2013-06-18 17:00:00,37910.9118283844,29996.738339653013,7454.921366577149,10001.038368148804,4351.974882659912,1837.050846481323,3873.182541923523,1925.723624458313
2013-06-18 18:00:00,37944.30003875732,29199.73642539978,7256.846923217773,9735.314592933655,4236.344544486999,1788.2410927963256,3770.2735385513306,1874.557872581482
2013-06-18 19:00:00,38215.25729766845,29388.866787986753,7303.850438041687,9798.371447410584,4263.783902816772,1799.8237615203857,3794.6940813827514,1886.6996209716797
2013-06-18 20:00:00,37551.34758563995,27791.544739494322,6906.876937408447,9265.817526016235,4032.041859741211,1702.001072845459,3588.447650222778,1784.155134010315
2013-06-18 21:00:00,34183.00124076843,25665.984927635192,6378.623472938537,8557.147008628845,3723.6622503280637,1571.828182258606,3313.995135116577,1647.698922767639
